"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 664154","Q72","*","B","664154.jpg"
" 664152","Q62","","D","664152.jpg"
" 664152","Q85","","B","664152.jpg"
" 744647","Q10","*","D","744647.jpg"
" 744729","Q86","A","*","744729.jpg"
" 744676","Q11","","A","744676.jpg"
" 744736","Q26","","A","744736.jpg"
" 744642","Q55","","B","744642.jpg"
" 744893","Q34","","A","744893.jpg"
" 744857","Q61","","A","744857.jpg"
" 744857","Q83","","A","744857.jpg"
" 744818","Q93","","B","744818.jpg"
" 744789","Q97","D","*","744789.jpg"
" 744800","Q44","","C","744800.jpg"
" 744800","Q66","","A","744800.jpg"
" 692394","Q61","B","*","692394.jpg"
" 692394","Q100","B","*","692394.jpg"
" 692350","Q53","","C","692350.jpg"
" 692352","Q21","*","D","692352.jpg"
" 692298","Q96","D","*","692298.jpg"
" 692199","Q93","","D","692199.jpg"
" 692138","Q41","","D","692138.jpg"
" 692116","Q90","","C","692116.jpg"
" 658366","Q5","C","*","658366.jpg"
" 658358","Q38","D","*","658358.jpg"
" 658365","Q31","A","*","658365.jpg"
" 658353","Q59","D","*","658353.jpg"
" 658216","Q4","C","*","658216.jpg"
" 658216","Q16","D","*","658216.jpg"
" 658635","Q10","","C","658635.jpg"
" 658556","Q6","B","*","658556.jpg"
" 658428","Q1","","A","658428.jpg"
" 658428","Q32","","B","658428.jpg"
" 658428","Q42","","C","658428.jpg"
" 658428","Q48","","B","658428.jpg"
" 658428","Q61","","D","658428.jpg"
" 658428","Q74","","B","658428.jpg"
" 658428","Q79","","B","658428.jpg"
" 658428","Q81","","*","658428.jpg"
" 658428","Q85","","D","658428.jpg"
" 658428","Q86","","A","658428.jpg"
" 658428","Q87","","D","658428.jpg"
" 658428","Q99","","C","658428.jpg"
" 658547","Q14","","C","658547.jpg"
" 658376","Q39","","B","658376.jpg"
" 658605","Q33","","A","658605.jpg"
" 658546","Q13","","B","658546.jpg"
" 658419","Q94","","B","658419.jpg"
" 658413","Q41","D","*","658413.jpg"
" 658413","Q91","A","*","658413.jpg"
" 658253","Q71","B","*","658253.jpg"
" 692798","Q65","*","D","692798.jpg"
" 692820","Q89","","D","692820.jpg"
" 692826","Q39","A","*","692826.jpg"
" 693095","Q74","B","*","693095.jpg"
" 693030","Q49","","C","693030.jpg"
" 692993","Q54","A","*","692993.jpg"
" 692893","Q70","","D","692893.jpg"
" 692896","Q62","","C","692896.jpg"
" 693147","Q54","","C","693147.jpg"
" 693156","Q88","*","B","693156.jpg"
" 693169","Q50","","B","693169.jpg"
" 693197","Q47","C","*","693197.jpg"
" 693199","Q59","*","D","693199.jpg"
" 693207","Q67","","C","693207.jpg"
" 693207","Q78","","B","693207.jpg"
" 760299","Q70","C","*","760299.jpg"
